City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Krutinka,RU,2021-04-13 06:47:08,56.0055,71.5113,43.02,74,11,10.6
68,Tasiilaq,GL,2021-04-13 06:47:09,65.6145,-37.6368,23.0,80,98,3.44
69,Sotouboua,TG,2021-04-13 06:47:09,8.5667,0.9833,77.0,94,0,1.5
70,Port Elizabeth,ZA,2021-04-13 06:47:10,-33.918,25.5701,66.2,100,90,1.66
71,Miri,MY,2021-04-13 06:47:10,4.4148,114.0089,87.8,66,20,9.22
72,Qaanaaq,GL,2021-04-13 06:47:10,77.484,-69.3632,-6.56,85,86,4.9
73,Atuona,PF,2021-04-13 06:45:55,-9.8,-139.0333,80.11,80,25,17.98
74,Trinidad,BO,2021-04-13 06:47:11,-14.8333,-64.9,61.75,94,100,3.87
75,Tessalit,ML,2021-04-13 06:47:11,20.1986,1.0114,84.45,11,8,9.69
76,Perleberg,DE,2021-04-13 06:47:12,53.0667,11.8667,36.0,89,35,11.18
77,Bara,NG,2021-04-13 06:47:12,10.3744,10.7288,84.96,41,96,2.48
78,Kulevcha,UA,2021-04-13 06:47:12,46.0303,29.9361,53.22,59,100,9.89
79,Maniitsoq,GL,2021-04-13 06:47:12,65.4167,-52.9,28.24,73,100,8.19
80,Bhabua,IN,2021-04-13 06:47:13,25.05,83.6167,107.02,4,0,12.71
81,Puerto Ayora,EC,2021-04-13 06:47:13,-0.7393,-90.3518,75.0,98,100,3.56
82,Port Alfred,ZA,2021-04-13 06:47:14,-33.5906,26.891,73.08,82,58,3.15
83,Hilo,US,2021-04-13 06:47:14,19.7297,-155.09,71.6,73,40,5.75
84,Sao Filipe,CV,2021-04-13 06:47:14,14.8961,-24.4956,76.32,61,13,9.48
85,Pangnirtung,CA,2021-04-13 06:47:15,66.1451,-65.7125,22.6,96,99,5.12
86,Bolobo,CD,2021-04-13 06:47:15,-2.1667,16.2333,77.9,77,99,3.44
87,Nyimba,ZM,2021-04-13 06:47:15,-14.5566,30.8149,70.11,73,100,7.16
88,Cagliari,IT,2021-04-13 06:47:16,39.245,9.0912,54.0,62,20,12.66
89,Castro,BR,2021-04-13 06:47:16,-24.7911,-50.0119,61.74,98,100,7.02
90,Batagay-Alyta,RU,2021-04-13 06:47:17,67.8006,130.4114,19.24,67,16,5.41
91,Lima,PE,2021-04-13 06:45:01,-12.0432,-77.0282,66.2,82,0,6.91
92,Gat,IL,2021-04-13 06:47:17,31.61,34.7642,62.01,53,0,3.0
93,Longyearbyen,SJ,2021-04-13 06:42:55,78.2186,15.6401,14.0,62,75,14.97
94,Kabare,CD,2021-04-13 06:47:18,-2.4683,28.8242,68.02,83,100,2.57
95,Lavrentiya,RU,2021-04-13 06:47:18,65.5833,-171.0,16.36,93,100,10.96
96,Mount Isa,AU,2021-04-13 06:47:18,-20.7333,139.5,89.6,11,6,4.61
